Confirmation,OrbitalPeriod,PlanetRadius,InsolationFlux,EquilibriumTemp,StellarEffectiveTemp,StellarRadius,RA,Dec
CANDIDATE,39.4759093,4.06,577.0,26.13,6225.0,1.031,291.20804,45.244389
FALSE POSITIVE,19.974485239,26.56,700.0,56.84,6108.0,0.997,289.72748,45.367661
CONFIRMED,3.166353562,3.82,1273.0,621.92,6007.0,0.998,286.36011,45.414291
FALSE POSITIVE,23.899634407,44.04,652.0,42.8,6192.0,0.924,294.71768,45.48576
CONFIRMED,3.388012244,2.11,1315.0,705.93,5553.0,1.25,292.58044,46.097389
CONFIRMED,5.83909761,2.06,1097.0,341.48,5553.0,1.25,292.58044,46.097389
CONFIRMED,1.620467654,1.57,1681.0,1893.42,5553.0,1.25,292.58044,46.097389
CONFIRMED,10.6816951,2.3,897.0,152.75,5553.0,1.25,292.58044,46.097389
CONFIRMED,6.104849417,3.18,784.0,89.25,5085.0,0.712,297.04562,46.027359
CONFIRMED,3.578780566,10.43,1145.0,406.6,5524.0,0.994,289.60797,44.345421
FALSE POSITIVE,3.187067566,23.88,1079.0,319.76,5450.0,0.811,297.78848,45.565418
